,,0.5,1
PYRUVATE,Pyruvate,1.19,1.32
LACTATE,Lactate,0.87,1.26
ETHANOL-AMINE,Ethanolamine,1.31,1.45
GLYCEROL,Glycerol,1.61,0.72
SUC,Succinate,0.75,1.08
GLYCERATE,Glycerate,1.17,0.82
FUM,Fumarate,0.82,0.92
CADAVERINE,Cadaverine,1.06,1
MAL,Malate,0.79,1.11
4-AMINO-BUTYRATE,4-Aminobutyrate,0.87,1.26
CYS,Cysteine,1.03,1.5
2-KETOGLUTARATE,⍺-Ketoglutarate,1.17,0.99
CIS-ACONITATE,Aconitate,1.5,0.91
PUTRESCINE,Putrescine,0.6,0.94
SHIKIMATE,Shikimate,0.71,0.9
CIT,Citrate,1.1,1.15
FRU,D-fructose,0.72,1.05
GLUCOSE,Glucose,0.97,1.02
LYS,Lysine,1.32,1.74
TYR,Tyrosine,1.81,3.71
GLUCONATE,Gluconate,0.95,1.08
CPD0-1083,Galactonate,1.07,0.94
URATE,Urate,0.76,1.52
SUCROSE,Sucrose,0.86,1.1
TREHALOSE,Trehalose,1.11,0.96
L-ASPARTATE,Aspartate,0.77,0.74
ASN,Asparagine,1.01,0.97
SER,Serine,0.79,0.82
GLY,Glycine,0.91,0.85
L-ALPHA-ALANINE,Alanine,0.92,0.86
GLT,Glutamate,0.46,0.55
GLN,Glutamine,0.45,0.63
THR,Threonine,0.9,1.04
PRO,Proline,0.96,1.04
VAL,Valine,0.81,1.01
TRP,Tryptophan,1.31,2.34
ILE,Isoleucine,1.07,1.21
LEU,Leucine,1.11,1.15
PHE,Phenylalanine,1.47,1.88
FORMATE,Formate,1.02,0.92
FOLATES,Folate,0.93,0.9
