,,0.5,1,2,4,12
PYRUVATE,Pyruvate,1.19,1.32,0.86,0.68,0.54
LACTATE,Lactate,0.87,1.26,0.98,0.67,0.53
ETHANOL-AMINE,Ethanolamine,1.31,1.45,1.18,1.22,0.52
GLYCEROL,Glycerol,1.61,0.72,0.68,1.91,1.42
SUC,Succinate,0.75,1.08,0.8,0.55,0.39
GLYCERATE,Glycerate,1.17,0.82,0.58,0.97,1.18
FUM,Fumarate,0.82,0.92,0.72,0.7,0.53
CADAVERINE,Cadaverine,1.06,1,1.07,0.89,0.92
MAL,Malate,0.79,1.11,0.87,0.73,0.62
4-AMINO-BUTYRATE,4-Aminobutyrate,0.87,1.26,1.21,0.87,0.77
CYS,Cysteine,1.03,1.5,1.34,0.97,0.74
2-KETOGLUTARATE,⍺-Ketoglutarate,1.17,0.99,0.9,0.91,0.84
CIS-ACONITATE,Aconitate,1.5,0.91,1,1.71,0.95
PUTRESCINE,Putrescine,0.6,0.94,0.82,0.92,0.87
SHIKIMATE,Shikimate,0.71,0.9,0.6,0.54,0.53
CIT,Citrate,1.1,1.15,1.6,1.24,1
FRU,D-fructose,0.72,1.05,0.89,0.64,0.26
GLUCOSE,Glucose,0.97,1.02,1.02,0.85,0.85
LYS,Lysine,1.32,1.74,1.85,1.28,0.7
TYR,Tyrosine,1.81,3.71,3.64,1.25,0.76
GLUCONATE,Gluconate,0.95,1.08,1,0.85,0.7
CPD0-1083,Galactonate,1.07,0.94,0.95,0.9,0.78
URATE,Urate,0.76,1.52,2.5,0.74,0.52
SUCROSE,Sucrose,0.86,1.1,1.49,0.89,1.08
TREHALOSE,Trehalose,1.11,0.96,0.88,0.75,0.9
L-ASPARTATE,Aspartate,0.77,0.74,0.8,1.14,0.7
ASN,Asparagine,1.01,0.97,1.17,0.95,0.74
SER,Serine,0.79,0.82,0.94,0.9,0.82
GLY,Glycine,0.91,0.85,0.96,0.82,0.78
L-ALPHA-ALANINE,Alanine,0.92,0.86,0.85,0.91,0.71
GLT,Glutamate,0.46,0.55,0.48,0.71,0.52
GLN,Glutamine,0.45,0.63,0.61,0.73,0.75
THR,Threonine,0.9,1.04,1.08,0.98,0.89
PRO,Proline,0.96,1.04,0.93,0.8,0.95
VAL,Valine,0.81,1.01,1.01,1.01,0.85
TRP,Tryptophan,1.31,2.34,2.18,1.11,1.01
ILE,Isoleucine,1.07,1.21,1.2,1.12,0.92
LEU,Leucine,1.11,1.15,1.22,1.2,0.89
PHE,Phenylalanine,1.47,1.88,1.6,1.31,0.66
FORMATE,Formate,1.02,0.92,1.1,1.09,1.01
FOLATES,Folate,0.93,0.9,0.88,0.87,0.94
