,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0,0,0,0,74,21,62,0,79,11,54,182,55,0,0,56,0,0,26,54,18,0,0,60,14,51,6,73,173,62,276,60,60,3,25,82,34,25,94,27,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,74,0,0,0,0,6,91,2,75,11,15,212,75,2,20,75,0,0,22,13,0,0,0,9,0,19,1,21,20,26,48,11,10,0,5,7,1,5,39,3,0
5,21,0,0,0,6,0,2,0,8,5,0,23,1,0,0,1,0,0,0,1,2,0,0,2,2,0,0,30,30,18,23,0,8,0,0,1,0,0,1,6,0
6,62,0,0,0,91,2,0,0,79,0,0,109,78,2,0,78,0,0,10,14,0,0,1,9,0,89,7,2,42,20,116,90,5,44,1,7,5,1,20,20,0
7,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0
8,79,0,0,0,75,8,79,0,0,0,0,48,75,0,0,75,0,0,10,4,11,0,0,30,11,8,4,8,12,22,27,11,4,0,1,2,5,1,18,1,0
9,11,0,0,0,11,5,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,11,0,0,0,0,0,0,0,0,0,0
10,54,0,0,0,15,0,0,0,0,0,0,34,0,0,0,0,0,0,26,15,0,0,0,0,0,35,9,22,38,25,57,7,26,0,0,23,5,0,15,4,0
11,182,0,0,0,212,23,109,2,48,11,34,0,52,17,20,52,0,0,59,61,1,0,0,16,1,106,14,57,58,39,292,123,64,46,43,48,43,44,57,26,0
12,55,0,0,0,75,1,78,0,75,0,0,52,0,0,0,84,0,0,10,0,0,0,0,9,0,7,1,1,6,11,30,14,0,3,1,0,1,1,11,1,0
13,0,0,0,0,2,0,2,2,0,6,0,17,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,17,0,2,0,0,0,0,0,15,0
14,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,18,0,0
15,56,0,0,0,75,1,78,0,75,0,0,52,84,0,0,0,0,0,10,0,0,0,0,9,0,7,1,1,6,11,30,14,0,3,1,0,1,1,11,1,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,26,0,0,0,22,0,10,2,10,0,26,59,10,2,0,10,0,0,0,0,0,0,0,0,0,26,0,15,15,0,59,2,26,0,0,0,5,0,0,6,0
19,54,0,0,0,13,1,14,0,4,0,15,61,0,0,9,0,0,0,0,0,0,0,0,0,0,4,4,13,26,9,63,16,5,0,0,44,4,0,45,0,0
20,18,0,0,0,0,2,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,14,0,0,2,2,2,4,4,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14,14,0,0,0,0,0,0,0,0,0
23,60,0,0,0,9,2,9,0,30,0,0,16,9,0,0,9,0,0,0,0,18,0,0,0,14,0,0,2,2,8,11,5,0,0,0,0,0,0,6,0,0
24,14,0,0,0,0,2,0,0,11,0,0,1,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,2,2,2,4,4,0,0,0,0,0,0,0,0,0
25,51,0,0,0,19,0,89,0,8,0,35,106,7,2,0,7,0,0,26,4,0,0,1,0,0,0,16,19,51,16,161,120,41,44,23,9,20,23,16,26,0
26,6,0,0,0,1,0,7,0,4,0,9,14,1,0,0,1,0,0,0,4,0,0,0,0,0,16,0,2,1,4,14,14,4,3,0,9,4,0,4,0,0
